@relation data-server

@attribute SIZE numeric
@attribute HOUR numeric
@attribute MBS numeric 

@data
0,23,997.846
360,23,1287.857
90,23,1206.645
1500,23,1230.917
1306,23,922.957
1308,23,1251.786
363,23,587.443
0,23,737.091
0,23,1171.636
0,23,467.955
417,23,824.424
0,23,537.818
494,23,773.43
1189,23,798.093
344,23,786.825
933,23,592.989
42,23,1301.295
43,23,1009.701
14286,23,1301.768
2122,23,802.142
43,23,594.488
1541,23,1335.45
1548,23,539.543
984,23,541.19
963,23,565.112
1197,23,1304.886
1082,23,931.284
49598,23,1072.874
0,23,1269.852
0,23,640.687
241,23,501.359
0,23,1117.688
90,23,670.248
0,23,1114.133
0,23,969.175
90,23,707.525
49598,23,1288.778
0,23,565.004
1991,23,891.163
0,23,641.237
0,23,1322.281
49598,23,724.839
1991,23,1293.309
2240,23,1213.932
348,23,1275.754
0,23,1228.954
0,23,606.242
90,23,999.744
0,23,1346.754
0,23,1120.032
90,23,853.217
0,23,494.652
1500,23,725.257
326,23,1170.18
0,23,694.562
305,23,966.07
0,23,708.879
1306,23,705.794
0,23,965.919
0,23,853.775
243,23,539.731
0,23,577.772
929,23,1138.597
0,23,1248.822
0,23,869.654
0,23,1194.46
1308,23,1067.19
90,23,1234.97
464,23,1273.42
852,23,1333.212
90,23,1051.578
872,23,760.291
1272,23,540.556
283,23,497.508
872,23,1130.228
0,23,725.491
949,23,706.497
0,23,951.427
0,23,1243.786
1426,23,894.349
494,23,934.096
0,23,944.706
1766,23,842.35
0,23,889.066
0,23,965.92
4930,23,663.948
4930,23,1340.948
4930,23,1313.841
4930,23,962.323
49598,23,1130.591
4930,23,1199.094
1065,23,822.672
4930,23,1282.109
1504,23,1288.595
201,23,932.215
352,23,593.811
4930,23,588.197
4930,23,1341.87
4930,23,708.633
4930,23,1132.584
4930,23,1145.744
4930,23,607.149
4930,23,758.049
4930,23,1088.319
4930,23,988.179
4930,23,1043.705
4930,23,739.868
4930,23,1341.697
4930,23,568.388
4930,23,774.275
4930,23,619.899
4930,23,1138.616
4930,23,475.312
4930,23,641.288
2513,23,857.001
2572,23,1133.527
2740,23,1185.566
10103,23,647.727
2696,23,1249.612
16456,23,736.286
1665,23,977.283
1682,23,649.872
776,23,1115.816
914,23,996.456
49598,23,467.746
853,23,1111.992
914,23,639.23
994,23,943.583
694,23,880.548
416,23,455.709
937,23,1120.093
870,23,728.459
828,23,555.248
19224,23,1278.427
3964,23,792.505
2095,23,971.218
823,23,887.808
1295,23,623.509
1210,23,809.419
1420,23,531.616
1362,23,1112.819
1056,23,1212.167
169,23,984.845
